"Date.Created","Text"
"Sun Mar 19 18:35:19 "," He s playing bad"
"Sun Mar 19 18:01:16 "," each"
"Sun Mar 19 17:40:29 "," FECKIN C MANNNNNNNNNN LFC "
"Sun Mar 19 18:41:52 "," Can is freaking amazing He did a lot of work both in defence and offense LFC "
"Sun Mar 19 17:42:12 "," u Yellow Card Man City nMan City Liverpool n MCILIV t co yNhb kG qG "
"Sun Mar 19 18:27:50 "," Proper game of football that Take a point LFC "
"Sun Mar 19 18:45:30 "," You should be a comedian t co BCbfcVKIMa "
"Sun Mar 19 17:10:51 "," Good to see you n n ud d udd ud d udd t co oirVEYlIJ "
"Sun Mar 19 17:45:13 "," u n n t co iS RaWtNF "
"Sun Mar 19 18:51:16 "," Matches between Premier League s big slightly irrelevant league table n n LFC n CFC n THFC n MCFC n MUFC u "
"Sun Mar 19 17:22:24 "," t co s qsM xPol "
"Sun Mar 19 18:42:53 "," RT MCFC vs LFC was a match of missed opportunities"
"Sun Mar 19 18:29:45 "," Man Utd have an edge against us ud d ude c t co Og B r Ou "
"Sun Mar 19 18:33:28 "," Yes Great shot by Milner Love how Klopp doesn t watch penalty shots lfc "
"Sun Mar 19 17:41:54 "," Non sbaglia il rigore il capitano del LFC come sempre Rigore ottenuto da Firmino"
"Sun Mar 19 17:53:00 "," WHAT THE HECK is she putting inside n MCILIV n t co pr Um naB "
"Sun Mar 19 17:26:08 "," nTupo Ndaaaaaani sana mie na ubavu wangu Monicah Outer matongo livepool u "
"Sun Mar 19 18:11:38 "," Firmino dribble and passing has been superb but the finishing was a very poor ud d ude ud d ude MCILIV "
"Sun Mar 19 17:00:19 "," Two penalties not given to Liverpool MCILIV "
"Sun Mar 19 18:25:32 "," fuck off you useless cunts t co fgsJzJxwCw "
"Sun Mar 19 19:05:46 "," She s Beautiful n MCILIV n t co L EbkEyXl "
"Sun Mar 19 18:53:02 "," She s Beautiful n MCILIV n t co EKYxYj ZGj "
"Sun Mar 19 16:56:15 "," ptain dommage Sadio Mane il aurait d u fb mieux faire MCILIV "
"Sun Mar 19 18:29:06 "," u e u e u e d u e u e a u e a u e u e u e u e a u e c u e u e u e u e u e u e u e u e u e b u e u e u e u e u e u e u e u e u e LFC "
"Sun Mar 19 17:13:39 "," ud d udcaa t co cG fXmzSx "
"Sun Mar 19 17:36:50 "," WHAT THE HECK is she putting inside n MCILIV n t co IAGHLwIRE "
"Sun Mar 19 18:52:16 "," FIRMINO GOING OFF TO SLIDE IN FRONT OF THE LFC FANS THEN LOOKS BACK HAHAHAHA n n t co x JRSUnZpd "
"Sun Mar 19 18:32:41 "," A solid shift from both sides ud d udd ud d udd t co exgNGruQ y "
"Sun Mar 19 18:58:57 "," Pep Guardiola u cThis is one of the happiest days of my life as a manager How we played against Liverpool means a l u "
"Sun Mar 19 17:00:08 "," Who turned the penalty feature off then Michael Oliver having a worldy as usual ud e udd LFC "
"Sun Mar 19 18:48:17 "," A solid shift from both sides ud d udd ud d udd t co exgNGruQ y "
"Sun Mar 19 18:42:38 "," Klopp"
"Sun Mar 19 16:45:22 "," MCFC fans booing James Milner MCILIV t co vtgFGhsmf "
"Sun Mar 19 17:39:45 "," James Milner with a superb penalty on his return to MCFC One of the best players on the pitch today MCILIV LFC "
"Sun Mar 19 17:39:14 "," GOAL Manchester City Liverpool James Milner scores a penalty after being booed all game from the City fans M u "
"Sun Mar 19 17:00:51 "," How is that not a penalty mciliv "
"Sun Mar 19 16:40:00 "," Watch Manchester City vs Liverpool Premier League Live Stream t co ypWA ag pD n n mcfc cityvlfc LFC PL "
"Sun Mar 19 17:11:03 "," MCILIV Grosse intensit u e dans ce CHOC de PL Matip vient mettre sa t u eate sur coup franc u e a passe u e c u f t u e u "
"Sun Mar 19 18:46:50 "," Never a penalty Once you get megged like that"
"Sun Mar 19 18:29:40 "," Emre and Gini were the best for us today Milner came next n LFC "
"{\limit\:{\track\:109",""
"Sun Mar 19 17:41:01 "," win you frauds "
"Sun Mar 19 18:10:11 "," C est quoi ce match MCILIV ud d ude d "
"Sun Mar 19 17:33:35 "," Back to it n nCome on"
"Sun Mar 19 18:11:58 "," E que falhan u e o t co ddTFqU R "
"Sun Mar 19 18:48:44 "," Mancity should forget about increasing their stadium capacity They can t even sell out a big match like this "
"Sun Mar 19 18:11:59 "," I am genuinely baffled LFC "
"Sun Mar 19 18:32:44 "," But for poor finishing we could ve won or lost or won or lost or won or lost or won or lost that LFC MCILIV "
"Sun Mar 19 18:13:11 "," The finishing in this game has been appalling Game should ve been dead amp buried We ll obviously be made to pay for all those misses LFC "
"Sun Mar 19 17:00:06 "," quel insolence t co eO uq nHG "
"Sun Mar 19 17:22:08 "," MCILIV Ce match prend compl u e tement feu ud d udd ud d udd ud d udd Gros temps fort de Liverpool"
"Sun Mar 19 17:55:25 "," WHAT THE HECK is she putting inside n MCILIV n t co fzN bQz mj "
"Sun Mar 19 18:23:18 "," FT Man City Liverpool James Milner scoring Could have won that Could have lost it too But definitely could u "
"Sun Mar 19 18:31:01 "," Liverpool should have been able to win Many opportunities that should be a goal "
"Sun Mar 19 18:37:19 "," My father s allegiance lies with the team with more players whose names he can shout Regrettably"
"Sun Mar 19 18:23:21 "," Mad game that Such a shame with the Lallana miss So sooo bad But we move on"
"Sun Mar 19 18:14:42 "," WHAT THE HECK is she putting inside n MCILIV n t co MKWjsJsfH "
"Sun Mar 19 17:57:34 "," AGUEROOOO MCILIV "
"Sun Mar 19 17:09:39 "," MCILIV Michael Oliver is having a very good game Tryna keep the score as much as he can "
"Sun Mar 19 17:48:11 "," Milner to the Man City fans MCILIV t co faFsyM tJ "
"Sun Mar 19 18:38:06 "," A solid shift from both sides ud d udd ud d udd t co exgNGruQ y "
"Sun Mar 19 18:44:22 "," ManCity v Liverpool is not a big enough game for The Etihad to be sold out"
"Sun Mar 19 17:32:33 "," LMAOOO You got jokes ud d ude It has nothing t co G W XRiqf "
"Sun Mar 19 17:49:19 "," Fans boo While Fans boo "
"Sun Mar 19 18:09:19 "," Wow Not sure which teams miss was worse ud d ude e MCILIV "
"Sun Mar 19 17:03:35 "," Nasty Very nasty LFC MCILIV cityvlfc Toure t co iODDsQteEj "
"Sun Mar 19 17:57:59 "," Pen u e lti para o Liverpool MCILIV "
"Sun Mar 19 17:28:41 "," At his best Coutinho is one of the league u s top players At the moment he u s as close to an empty shirt as he u s been si u "
"Sun Mar 19 17:41:07 "," James Milner has NEVER lost a PL game in which he has scored MCILIV t co xhPX YV Qb u b ufe f t co M IiXcnRiY "
"Sun Mar 19 18:35:37 "," Got from my predictor with Barca still play whitesangoma under threat u "
"Sun Mar 19 17:39:10 "," WHAT THE HECK is she putting inside n MCILIV n t co xaBH Is pL "
"Sun Mar 19 17:30:37 "," Another day in the office ahead workathome instead t co Pcx qgS yk EURO winning jobhuntchat LFC cafc "
"Sun Mar 19 18:26:21 "," u DateMyFamily n u OurPerfectWedding n u a MCILIV n u b Lamborghini n u c Liverpool n n SAST trndnl t co ZiIghhS p "
"Sun Mar 19 18:23:34 "," FULL TIME The PL s third and fourth placed sides share the points after an absolute thriller at the Etihad MCILIV htt u "
"Sun Mar 19 19:01:14 "," A little dissapointed with the scoreline after where we were at around mons"
"Sun Mar 19 18:29:02 "," e ficam no empate num JOGA u c O Milner e fizeram os gols da partida t co ZB HLT u "
"Sun Mar 19 16:58:24 "," Where the F is our defense Clyne"
"Sun Mar 19 17:32:52 "," They ve called it a full house at the Etihad today MCILIV t co UuNtgAmthu "
"Sun Mar 19 18:10:12 "," What Was That lfc "
"Sun Mar 19 18:27:31 "," FT Man City LFC Stunning game Packed full of chances and drama Milner penalty cancelled out by Aguero "
"Sun Mar 19 17:42:33 "," GOLO Milner GP nMan City Liverpool MCILIV "
"Sun Mar 19 17:55:05 "," ud d udcf James Milner makes it ufe f u e out of ufe f u e from the u aa ufe f this season n nIt s Man City Liverpool mins MCILIV u "
"Sun Mar 19 18:20:28 "," u u u u u a u u e u u "
"Sun Mar 19 18:28:53 "," Phew Some game Good result tho City bizarre team at times hard to live with the them amp then look like they ll fold at any minute LFC "
"Sun Mar 19 17:40:56 "," WHAT THE HECK is she putting inside n MCILIV n t co YNScPKfLcZ "
"Sun Mar 19 18:19:52 "," ud d udcf Sergio Aguero celebrates Man City s equaliser against Liverpool n nIt s with mins remaining MCILIV t c u "
"Sun Mar 19 18:18:57 "," WHAT THE HECK is she putting inside n MCILIV n t co KEjgEGSk k "
"Sun Mar 19 18:02:19 "," ud d udd u ufe f n u b ufe f u bd ufe f ud d udd n MCILIV t co RsiD Zwkze "
"Sun Mar 19 16:43:50 "," KarakanaYaSoka Dakika ya hapa ukiwa nasi na nani ashi u "
"Sun Mar 19 18:28:47 "," Did you watch the fucking clip pal t co MlZEJtX zl "
"Sun Mar 19 16:55:40 "," cubaan sadio mane berdepan keeper dapat dihalang n nMCI LFC MCILFC YNWA "
"Sun Mar 19 17:45:20 "," Paddypower New football MCFC LFC mufc Spurs n ManCity v Liverpool nSunday Claim gt u t co BposprhKLx "
"Sun Mar 19 17:30:54 "," Eish giving me asthma "
"Sun Mar 19 16:58:48 "," Betfair No Risk Offer nBet u a Get u a n MUFC MCFC LFC AVFC lufc n Spurs bhafc PremierLeague n AVFC LFC Claim u "
"Sun Mar 19 18:56:53 "," Klopp I m not happy in this moment But give me a few hours and I will be happy LFC t co kiGk xASka "
"Sun Mar 19 18:01:31 "," The Reds look for a swift response but Firmino s drive crashes into the side netting n n t co pMuZHwEFCF "
"Sun Mar 19 17:42:06 "," Gollllllll u n Liverpool LFC milner ynwa chupamanchestershit "
"Sun Mar 19 17:00:08 "," Emre Can pulls back Kevin De Bruyne"
"Sun Mar 19 19:02:31 "," She s Beautiful n MCILIV n t co DEcSBZniFf "
